Name,Folder,Match,Topics,Difficulty,Link
3 Sum,topics/TwoPointers/3Sum,verified,Two Pointers,Medium,https://maang.in/problems/3-Sum-65?resourceUrl=pl3476-rs65&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
All Pairs Shortest Path,topics/Graphs/AllPairsShortestPath,exact,Graphs,Medium,https://maang.in/problems/All-Pairs-Shortest-Path-431?resourceUrl=pl3596-rs431&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Android Unlock Pattern,topics/Backtracking/AndroidUnlockPattern,exact,Backtracking LCCM,Hard,https://maang.in/problems/Android-Unlock-Pattern-486?resourceUrl=pl3524-rs486&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Area & Perimeter Of Connected Component,topics/Graphs/AreaPerimeterOfConnectedComponents,verified,Graphs,Hard,https://maang.in/problems/Area-and-Perimeter-of-Connected-Components-422?resourceUrl=pl3549-rs422&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Bellman Ford Revisited,topics/Graphs/BellmanFordRevisited,exact,Graphs,Medium,https://maang.in/problems/BellmanFord-Revisited-209?resourceUrl=pl3595-rs209&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Bitonic Array,topics/BinarySearch/BitonicArray,exact,Binary Search,Easy,https://maang.in/problems/Bitonic-Array-107?resourceUrl=pl3459-rs107&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Budget Travelling,topics/Graphs/BudgetTravelling,exact,Graphs,Hard,https://maang.in/problems/Budget-Travelling-615?resourceUrl=pl3597-rs615&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Building Roads,topics/Graphs/BuildingRoads,exact,Graphs,Easy,https://maang.in/problems/Building-Roads-192?resourceUrl=pl3547-rs192&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Burn Them All,topics/Graphs/BurnThemAll,exact,Graphs,Medium,https://maang.in/problems/Burn-them-All-618?resourceUrl=pl3594-rs618&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Buy Maximum Objects II,topics/PrefixSums/BuyMaximumObjects2,verified,"Arrays, PrefixSum",Easy,https://maang.in/problems/Buy-Maximum-Objects-II-74?resourceUrl=pl3443-rs74&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Classroom,topics/BinarySearch/ClassRoom,verified,Binary Search,Medium,https://maang.in/problems/ClassRoom-471?resourceUrl=pl3462-rs471&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Colour Tree,topics/Graphs/ColourTree,exact,Graphs,Medium,https://maang.in/problems/Colour-Tree-416?resourceUrl=pl3546-rs416&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Complete the Game,topics/Graphs/CompleteTheGame,exact,Graphs,Medium,https://maang.in/problems/Complete-the-Game-432?resourceUrl=pl3550-rs432&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Connected Components Size,topics/Graphs/ConnectedComponentsSize,exact,Graphs,Medium,https://maang.in/problems/Connected-Component-Size-684?resourceUrl=pl3547-rs684&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Consecutive Ones,topics/TwoPointers/ConsecutiveOnes,exact,Two Pointers,Medium,https://maang.in/problems/Consecutive-one-44?resourceUrl=pl3461-rs44&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Container with Most Water,topics/TwoPointers/ContainerWithMostWater,verified,Two Pointers,Medium,https://leetcode.com/problems/container-with-most-water/solutions/
Count subarrays with sum k ,topics/PrefixSums/CountSubarraysWithSumK,verified,"HashMap, PrefixSum",Medium,https://leetcode.com/problems/subarray-sum-equals-k/submissions/
Count the Pairs,topics/TwoPointers/CountThePairs,exact,"Arrays, Two Pointers",Medium,https://maang.in/problems/Count-the-Pairs-396?resourceUrl=pl3446-rs396&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Count unique char in String ,topics/ContributionTechnique/CountUniqueCharInSubstring,verified,Arrays,Hard,https://maang.in/problems/Count-Unique-Char-in-Substrings-63?resourceUrl=pl4655-rs63&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Creating Teams,topics/Graphs/CreatingTeams,exact,Graphs,Medium,https://maang.in/problems/Creating-Teams-193?resourceUrl=pl3548-rs193&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Deque AZ101,topics/DequeAndOrderedSet/DequeAZ101,exact,Deque,Easy,"https://maang.in/problems/Deque-AZ101-353?resourceUrl=pl3442-rs353&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]"
Design Event Manager,topics/Maps/DesignEventManager,exact,"HashMap, Sets",Medium,https://leetcode.com/problems/design-event-manager/description/
Easy Graph Queries,topics/Graphs/EasyGraphQueries,exact,Graphs,Easy,https://maang.in/problems/Easy-Graph-Queries-400?resourceUrl=pl3545-rs400&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Edge Reverse,topics/Graphs/EdgeReverse,exact,Graphs,Medium,https://maang.in/problems/Edge-Reverse-900?resourceUrl=pl3553-rs900&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Factory Machines,topics/BinarySearch/FactoryMachines,exact,Binary Search,Medium,https://cses.fi/problemset/task/1620/
Famous Painter Partition,topics/BinarySearch/PainterPartition,verified,Binary Search,Medium,https://maang.in/problems/Famous-Painter-Partition-Problem-472
Fast Solving,topics/GreedyAndSweepLine/FastSolving,exact,Arrays,Medium,"https://maang.in/problems/Fast-Solving-225?resourceUrl=pl4958-rs225&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]"
Fibonacci Breakdown,topics/GreedyAndSweepLine/FibonnaciBreakdown,verified,Greedy,Medium,"https://maang.in/problems/Fibonacci-Breakdown-224?resourceUrl=pl4957-rs224&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]"
Find Median from Data Stream,topics/PriorityQueue/FindMedianFromDataStream,verified,Heaps,Medium,https://leetcode.com/problems/find-median-from-data-stream/
Find Number of Rooms,topics/Graphs/FindTheNumberOfRooms,verified,Graphs,Medium,https://maang.in/problems/Find-the-Number-of-Rooms-191?resourceUrl=pl3546-rs191&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Find Peak ,topics/BinarySearch/FindPeakElement,verified,"Arrays, Binary Search",,https://leetcode.com/problems/find-peak-element/
Generate Valid Parentheses LCCM,topics/Backtracking/GenerateBalancedParanthesis,verified,Backtracking LCCM,Medium,https://maang.in/problems/Generate-Balanced-Parenthesis-medium-version-485?resourceUrl=pl3524-rs485&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Generating Permutations AZ101,topics/TwoPointers/GeneratingPermutations,verified,"Arrays, Two Pointers",Medium,https://maang.in/problems/Generating-Permutations-AZ101-366?resourceUrl=pl3436-rs366&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Good Pairs,topics/TwoPointers/GoodPairs,verified,Two Pointers,Medium,https://maang.in/problems/Good-Pairs-AZ101-377?resourceUrl=pl3462-rs377&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
Good Sequence AZ101,topics/Maps/GoodSequenceAZ101,exact,HashMap,Easy,https://maang.in/problems/Good-Sequence-AZ101-375?resourceUrl=pl3438-rs375&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D
