Name,Created time,Difficulty,Due At,Form,Framework,Link,Mistakes,Notes,Source,Topics
Generating Permutations AZ101,"April 12, 2026 7:34 PM",Medium,"June 23, 2026",Two Pointers,"  1. First decreasing element from right.
  2. swap with just bigger element
  3. reverse the suffix to get the smallest value",https://maang.in/problems/Generating-Permutations-AZ101-366?resourceUrl=pl3436-rs366&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"Traverse from right and find first index i such that:arr[i] < arr[i+1]
→ this is the pivot.
If no such index exists:
→ array is in descending order.
Reverse entire array (smallest permutation).
Traverse from right again and find first element greater than arr[i].
Swap that element with arr[i].
Reverse the subarray from i+1 to end.",,"Arrays, Two Pointers"
Queues AZ101,"April 14, 2026 9:24 AM",Easy,"June 5, 2026",,,https://maang.in/problems/Queue-AZ101-349?resourceUrl=pl3437-rs349&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Queues
Queues using 2 stacks,"April 14, 2026 9:52 AM",Easy,"June 13, 2026",,"  1. Optimisation: Only transfer elements to out queue when it empty, otherwise it always hold the front elem of queue",https://maang.in/problems/Queue-using-2-Stacks-AZ101-350?resourceUrl=pl3437-rs350&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,"Queues, Stacks"
Good Sequence AZ101,"April 15, 2026 9:50 AM",Easy,"June 11, 2026",,"  1. use the (Map.Entry<T, T> entry : map.entrySet())",https://maang.in/problems/Good-Sequence-AZ101-375?resourceUrl=pl3438-rs375&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,HashMap
Magical Candy,"April 16, 2026 11:13 PM",Easy,"June 12, 2026",,"  1. Use PQ to fetch the largest element every time",https://maang.in/problems/The-Magical-Candy-Bag-AZ101-365?resourceUrl=pl3439-rs365&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Priority Queue
Reduce the Array,"April 17, 2026 10:00 AM",Easy,"June 17, 2026",,"  1. Use PQ to repeatedly fetch the smallest two elements and merge",https://maang.in/problems/Reduce-the-Array-AZ101-376?resourceUrl=pl3439-rs376&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Priority Queue
Multi Map AZ101,"April 18, 2026 4:27 PM",Easy,"June 6, 2026",,"  1. use a combination of string to queue map to create a multi map",https://maang.in/problems/Multimap-AZ101-363?resourceUrl=pl3439-rs363&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,"HashMap, Queues"
Set Operations AZ101,"April 18, 2026 5:16 PM",Easy,"June 9, 2026",,,https://maang.in/problems/Set-Operations-AZ101-372?resourceUrl=pl3440-rs372&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,Sets
Towers AZ101,"April 18, 2026 11:46 PM",Medium,"June 19, 2026",,"  1. Use TreeMap to implement Multiset.
  2. Iterate and find higher_key if found replace existing otherwise append
  3. answer is sum of frequencies of elem in treemap.",https://maang.in/problems/Towers-AZ101-362?resourceUrl=pl3441-rs362&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"  1. We needed upper bound with frequency
  2. So we used a treemap as it gives us both",,MultiSets
Deque AZ101,"April 19, 2026 2:05 PM",Easy,"June 19, 2026",,,"https://maang.in/problems/Deque-AZ101-353?resourceUrl=pl3442-rs353&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]",,,,Deque
Indexed Set,"April 19, 2026 2:35 PM",Easy,"June 6, 2026",,"  1. Use Arraylist and BS to implement Indexed Set, Ordered Set",https://maang.in/problems/Indexed-Set-367?resourceUrl=pl3442-rs367&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,"Arrays, Binary Search, Indexed Set"
Design Event Manager,"April 19, 2026 7:58 PM",Medium,"June 17, 2026",,"  1. Use a combination of Set and HashMap and create a static private class to define event.
  2. Use TreeSet comparator property to sort the events",https://leetcode.com/problems/design-event-manager/description/,,,,"HashMap, Sets"
Find Median from Data Stream,"April 22, 2026 9:46 AM",Medium,"June 12, 2026",,"  1. Partition into maxHeap and minHeap 
  2. Add to maxHeap then balance both the heaps so that , size difference is always less than equal to 1.",https://leetcode.com/problems/find-median-from-data-stream/,,"  1. We need to split the array
  2. we use max and min heap to keep elem sorted",,Heaps
Buy Maximum Objects II,"April 24, 2026 9:11 AM",Easy,"July 13, 2026",,"  1. User PF Sum to get logn in queries",https://maang.in/problems/Buy-Maximum-Objects-II-74?resourceUrl=pl3443-rs74&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,"Arrays, PrefixSum"
"STL Searching ","April 24, 2026 9:57 AM",Easy,"June 11, 2026",Upper/Lower Bound,,https://maang.in/problems/STL-Searching-395?resourceUrl=pl3443-rs395&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"For queries of no of elem < x or smallest number > x , think of upper and lower bound",,"Arrays, Binary Search"
Valid Paranthesis AZ101,"April 26, 2026 11:58 AM",Easy,"June 15, 2026",,"  1. Maintain a depth counter to maintain the depth
  2. Incase of multiple characters use a stack , push opening to stack and then match the stack top with closing bracket.","https://maang.in/problems/Valid-Parentheses-AZ101-348?resourceUrl=pl3444-rs348&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]",,,,"Arrays, Stacks"
Maximum in Window,"April 26, 2026 6:54 PM",Medium,"June 19, 2026",Sliding Window,"  1. Create MQ which supports insert, removal, max/min retrieval
  2. insert → remove existing greater/min elements then add
  3. remove → if arr[i-k] == first, then remove first
  4. retrieval → first elem of the deque",https://maang.in/problems/Maximum-in-Window-77?resourceUrl=pl3445-rs77&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,"Arrays, Deque, MultiSets"
"Count subarrays with sum k ","April 27, 2026 9:41 AM",Medium,"June 22, 2026",PrefixSUM,"  1. Use a combination of prefix sum and hash map to make it a two sum problem.",https://leetcode.com/problems/subarray-sum-equals-k/submissions/,Two Pointers do not work on negative numbers,"  1. Whenever you see sum of a range type, try to think of PrefixSum
  2. For faster Lookup HashMaps",,"HashMap, PrefixSum"
Count the Pairs,"April 27, 2026 10:04 AM",Medium,"June 5, 2026","Atomic Contribution, Two Pointers, Upper/Lower Bound","  1. Sort the array 
  2. Use two pointers or upper/lower bound to get number of elements",https://maang.in/problems/Count-the-Pairs-396?resourceUrl=pl3446-rs396&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"The observation is:
For every element A[i], count how many indices j can pair with it such that:
A[i] + A[j] ≤ X
So instead of thinking:
Check every pair (i, j)
you think:
How many valid partners does A[i] contribute to?",,"Arrays, Two Pointers"
Interesting Game,"April 28, 2026 9:34 AM",Medium,"June 19, 2026",Greedy,"  1. Create a pair and sort on the basis of sum of pair elements",https://maang.in/problems/Interesting-Game-76?resourceUrl=pl3446-rs76&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,,"Arrays, Greedy"
